seqnames	start	end	width	strand	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea	GEOAC
chr3	148804275	148804275	0	*	-0.0373603564977438	0.0373603564977438	115083	283457	283457	1	23	0.0309284707178414	0.932	0.338741568045513	1	GSE74738
chr10	99790170	99790205	35	*	-0.0319651250593988	0.0639302501187975	21958	60361	71015	10655	10	0.0312573220811359	0.96	0.161831866519232	1	GSE74738
chr7	101005910	101006573	663	*	-0.0265454178543279	0.238908760688951	147529	178608	349085	170478	12	0.0329056895396492	0.977	0.0268835989493199	0.962	GSE74738
chr4	93226245	93227195	950	*	-0.0275889973143375	0.11035598925735	121156	12950	113178	100229	9	0.0391045377377493	0.989	0.0847614388891401	1	GSE74738
chr2	30669597	30669597	0	*	0.0628722664659024	0.0628722664659024	93842	175394	175394	1	9	0.000205384165268375	0.037	0.0933451655280117	0.997	GSE69502
chr12	29301525	29302714	1189	*	-0.0292882131948287	0.263593918753458	38781	4291	332766	328476	9	0.000813786315214316	0.183	0.00413868468880424	0.525	GSE69502
chr10	42862876	42863594	718	*	-0.0180784380468094	0.144627504374475	20139	23320	356243	332924	8	0.00181358093104905	0.317	0.02763773333385	0.96	GSE69502
chr2	30669759	30669759	0	*	0.0355855110191519	0.0355855110191519	93842	218307	218307	1	9	0.00385192189201443	0.438	0.189042561024286	1	GSE69502
chr19	9785295	9786077	782	*	-0.0275235554266731	0.275235554266731	84860	140149	328643	188495	10	0.00387904810252157	0.484	0.00347215494491442	0.463	GSE69502
chr2	70994802	70995607	805	*	-0.0190906032865367	0.22908723943844	95863	20377	337608	317232	12	0.00605302011602268	0.695	0.0071535692280268	0.7	GSE69502
chr5	67583972	67584380	408	*	0.0160114208331715	0.128091366665372	132836	17679	332469	314791	8	0.0104668420828279	0.846	0.035938353749036	0.978	GSE69502
chr8	67344553	67345006	453	*	-0.0144320645430736	0.129888580887663	163093	24877	330772	305896	9	0.0162873518230751	0.918	0.0349346839602717	0.976	GSE69502
chr17	3438933	3439042	109	*	0.0205686367135397	0.0411372734270794	70578	169804	245580	75777	7	0.0249909902229387	0.91	0.157831918249352	0.999	GSE69502
chr7	4784887	4784903	16	*	-0.0210722826987339	0.0421445653974678	150511	282383	313811	31429	9	0.0275486043564694	0.905	0.152681813425924	0.999	GSE69502
chr17	36105064	36105517	453	*	0.0149319207342762	0.104523445139933	73620	36137	263603	227467	7	0.0314354028048502	0.956	0.0505981329416825	0.991	GSE69502
chr2	20101506	20101506	0	*	0.0245951279744551	0.0245951279744551	92989	86562	86562	1	12	0.0316252862784002	0.896	0.316807012512933	1	GSE69502
chr12	53693322	53693485	163	*	-0.0159888983445955	0.0799444917229777	40195	119323	273569	154247	9	0.0400654129190515	0.974	0.0706056507771659	0.996	GSE69502
chr17	3438918	3438918	0	*	0.0234044168765168	0.0234044168765168	70578	57336	57336	1	7	0.0415341034593669	0.926	0.329691962503827	1	GSE69502
chr8	26047780	26048281	501	*	0.0131007543268419	0.0786045259610511	161274	61876	274865	212990	7	0.0418247414290863	0.98	0.0720588406257629	0.996	GSE69502
chr4	109092628	109092628	0	*	0.0231724243292602	0.0231724243292602	127526	92500	92500	1	8	0.0437003251270088	0.929	0.330870015074423	1	GSE69502
chr1	86622113	86622737	624	*	0.01397417385305	0.0978192169713498	9415	134813	326428	191616	7	0.0453860253513813	0.983	0.0554110977202358	0.992	GSE69502
chr3	44667010	44667010	0	*	0.0230062617839978	0.0230062617839978	115787	342485	342485	1	11	0.0455022805392691	0.934	0.331873684863187	1	GSE69502
chr17	3438857	3439203	346	*	0.0194565326722878	0.0389130653445755	70578	102270	114200	11931	7	0.0457967936819181	0.951	0.170588987533569	0.999	GSE69502
chr1	47488757	47488757	0	*	0.0227840360411115	0.0227840360411115	7698	173402	173402	1	8	0.0478661360263202	0.938	0.333140866411164	1	GSE69502
chr2	176947764	176949017	1253	*	-0.00764987323650974	0.107098225311136	116411	3661	401581	397921	14	0.000927113201269547	0.223	0.0177796386501531	0.894	GSE98224
chr15	31195612	31196075	463	*	-0.00741969735628874	0.0667772762065986	66239	5257	402170	396914	9	0.00256451474222141	0.558	0.0501800020187142	0.987	GSE98224
chr2	214148856	214149425	569	*	-0.0143309931555333	0.143309931555333	118233	8730	373167	364438	10	0.00282993827968164	0.487	0.00704680800158506	0.668	GSE98224
chr2	70994802	70995607	805	*	-0.0146733756503982	0.176080507804778	110639	22964	380570	357607	12	0.00315143721237995	0.515	0.00309162345745934	0.438	GSE98224
chr8	125985352	125985883	531	*	-0.0154465490647953	0.108125843453567	194642	30573	369872	339300	7	0.0034766745047608	0.523	0.0172824368123755	0.886	GSE98224
chr14	95234658	95235489	831	*	0.0150538401426002	0.135484561283402	63687	20911	354179	333269	9	0.00425425331872881	0.567	0.00865056430539408	0.721	GSE98224
chr5	139493486	139493680	194	*	0.0144119136301768	0.129707222671591	159036	901	346566	345666	9	0.00425799167841135	0.604	0.010052449186346	0.768	GSE98224
chr17	77923971	77924733	762	*	0.0144295990800014	0.115436792640011	91540	19541	353443	333903	8	0.00498697181650635	0.623	0.0144487601730113	0.853	GSE98224
chr8	15397637	15398333	696	*	0.0133622927940264	0.106898342352212	188883	52632	390754	338123	8	0.00589165485968067	0.698	0.0178581442034864	0.895	GSE98224
chr7	96650668	96650668	0	*	0.0202929063574106	0.0202929063574106	181990	310533	310533	1	8	0.00613464823904567	0.666	0.203120034991047	0.999	GSE98224
chr1	6684860	6685162	302	*	0.010644583968597	0.0745120877801787	2224	41068	404101	363034	7	0.00712157519523583	0.768	0.0415518678714154	0.977	GSE98224
chr10	8094641	8094860	219	*	0.0161522140934231	0.0323044281868462	21847	7366	14085	6720	57	0.00754774819904522	0.648	0.115100356265678	0.997	GSE98224
chr6	33041218	33041268	50	*	0.0147100126369864	0.0441300379109593	166822	244328	362096	117769	8	0.00906552223015585	0.719	0.0822962500514024	0.995	GSE98224
chr10	13749010	13749010	0	*	0.0181246136717134	0.0181246136717134	22178	90272	90272	1	8	0.0100636642653936	0.755	0.226439922690722	1	GSE98224
chr2	223177596	223177596	0	*	-0.0168553145153039	0.0168553145153039	119124	2125	2125	1	13	0.0139852035723765	0.813	0.247797171557064	1	GSE98224
chr18	42530797	42530935	138	*	0.0122646265376421	0.0367938796129264	94094	88005	306310	218306	8	0.0146169863587255	0.864	0.0988272765675877	0.995	GSE98224
chr5	114937614	114937919	305	*	0.0137428413422892	0.0274856826845785	157437	333645	367024	33380	10	0.0153123212596777	0.797	0.140932421672019	0.999	GSE98224
chr18	42530692	42530893	201	*	0.0141729342165253	0.0283458684330506	94094	369067	374404	5338	8	0.0154319487695189	0.788	0.135665072879322	0.999	GSE98224
chr16	81039227	81039227	0	*	0.016416578609459	0.016416578609459	79514	136419	136419	1	10	0.0158169998168204	0.835	0.257621580802775	1	GSE98224
chr11	74302893	74302893	0	*	0.0164098450744149	0.0164098450744149	38859	21071	21071	1	13	0.0158394299749156	0.835	0.257752423391664	1	GSE98224
chr11	111250093	111250566	473	*	0.00957735748874255	0.0957735748874255	40626	21732	358991	337260	10	0.0159216738879315	0.922	0.0239404554069765	0.931	GSE98224
chr10	8094482	8094679	197	*	0.0138566222539756	0.0277132445079513	21847	80409	80947	539	57	0.0181198293812641	0.816	0.139474461395829	0.999	GSE98224
chr6	33240864	33241410	546	*	0.0114507990048528	0.0458031960194113	166934	192134	402524	210391	7	0.0188749780371369	0.904	0.0794438816136256	0.995	GSE98224
chr10	102279373	102279694	321	*	-0.0126327888610592	0.0505311554442368	27467	316519	391899	75381	11	0.0194619005072954	0.868	0.0720494061615644	0.993	GSE98224
chr5	114938002	114938002	0	*	0.0156924221847131	0.0156924221847131	157437	27350	27350	1	10	0.0198357364755493	0.879	0.276511512278642	1	GSE98224
chr5	126409227	126409227	0	*	0.0156503902532211	0.0156503902532211	157934	40118	40118	1	13	0.0200862065742793	0.879	0.277659188701182	1	GSE98224
chr6	88875236	88875236	0	*	-0.0156147050839505	0.0156147050839505	170088	63496	63496	1	7	0.020299293076184	0.88	0.278664807455785	1	GSE98224
chr8	21916256	21917015	759	*	0.00880265606630777	0.0616185924641544	189296	68132	391000	322869	7	0.0221086591625327	0.944	0.0567445616212518	0.988	GSE98224
chr6	32060681	32061478	797	*	0.00834870237438974	0.0667896189951179	166513	29029	365098	336070	8	0.0224002512177707	0.95	0.0501613102203015	0.987	GSE98224
chr5	142784982	142785258	276	*	-0.0129373465454858	0.0258746930909717	159623	214213	230239	16027	9	0.0227666104666594	0.865	0.150225983842809	0.999	GSE98224
chr19	1275266	1275762	496	*	-0.0113441531347222	0.0453766125388889	96038	239907	394686	154780	7	0.0228974530555483	0.92	0.0802513673050539	0.995	GSE98224
chr5	44388688	44389406	718	*	-0.0108978496369278	0.0435913985477114	154571	42452	231908	189457	10	0.0230731559606276	0.925	0.0832532701301323	0.995	GSE98224
chr13	88324193	88324879	686	*	-0.0111638752301861	0.0669832513811166	56705	110871	277793	166923	9	0.0236488633517385	0.927	0.0499033634022064	0.986	GSE98224
chr7	114055123	114055204	81	*	0.0119497796606568	0.0477991186426272	183409	286071	369183	83113	7	0.0240937281539606	0.907	0.0763036594802932	0.995	GSE98224
chr12	51717674	51718355	681	*	0.0102447043100581	0.112691747410639	46679	106171	368686	262516	11	0.0241684953476114	0.941	0.0154244720501538	0.867	GSE98224
chr10	102279330	102279703	373	*	-0.0121018685156991	0.0363056055470972	27467	13208	78639	65432	11	0.0249535508809445	0.904	0.100389910914889	0.995	GSE98224
chr6	33041229	33041343	114	*	0.0113923168340608	0.0227846336681217	166822	31548	152191	120644	8	0.0258171119676109	0.927	0.175725335237405	0.999	GSE98224
chr1	35220334	35220710	376	*	-0.00984615713298623	0.0393846285319449	6616	116532	381817	265286	8	0.0260002915920552	0.949	0.0920533688228279	0.995	GSE98224
chr7	114055074	114055210	136	*	0.0125667089754124	0.0251334179508247	183409	23269	38515	15247	7	0.0262358082520552	0.888	0.15508585143011	0.999	GSE98224
chr1	50573970	50573970	0	*	0.0147913148517021	0.0147913148517021	8480	365321	365321	1	7	0.0264077727974519	0.897	0.30521089956149	1	GSE98224
chr11	124767720	124767974	254	*	0.0109046795374729	0.0436187181498914	42107	252229	405778	153550	7	0.0265274003072932	0.936	0.0831971947348942	0.995	GSE98224
chr8	144965577	144965915	338	*	0.0113776901907567	0.0341330705722702	196508	104277	218258	113982	7	0.0265311386669757	0.928	0.108158222335204	0.996	GSE98224
chr11	124767840	124768015	175	*	0.011206243507982	0.022412487015964	42107	35705	157539	121835	7	0.0275890944571341	0.934	0.179874914485022	0.999	GSE98224
chr7	96650192	96650509	317	*	0.0110231991276783	0.0330695973830349	181990	7256	144959	137704	8	0.027630216413642	0.94	0.111993779369488	0.997	GSE98224
chr5	114937535	114938236	701	*	0.0118528747533196	0.0474114990132782	157437	257018	315281	58264	10	0.0278881632317372	0.918	0.0768232914761661	0.995	GSE98224
chr10	71812265	71812630	365	*	-0.00994725201834639	0.0696307641284247	24965	42143	272572	230430	11	0.0282283539628482	0.946	0.0467668796285566	0.98	GSE98224
chr6	30181877	30182240	363	*	-0.0124258492909474	0.0248516985818949	165876	236586	237066	481	54	0.0310657689618949	0.908	0.157149425974871	0.999	GSE98224
chr2	198650752	198651576	824	*	-0.00977615222345704	0.0488807611172852	117342	163954	366293	202340	10	0.0321087713133231	0.953	0.0745615838682303	0.994	GSE98224
chr5	126409211	126409211	0	*	0.0142044647561574	0.0142044647561574	157934	174097	174097	1	13	0.032288212578085	0.915	0.326998059791325	1	GSE98224
chr2	223177574	223177574	0	*	-0.0141375081834986	0.0141375081834986	119124	345067	345067	1	13	0.0330134543564975	0.917	0.329551359454499	1	GSE98224
chr12	117036703	117036972	269	*	0.00926954681690073	0.0370781872676029	51185	108815	346190	237376	9	0.0337648646526877	0.966	0.0980870813504451	0.995	GSE98224
chr5	153853057	153853545	488	*	-0.00995674259130991	0.0398269703652396	160397	171957	344641	172685	9	0.0339293524787194	0.959	0.0910813953053679	0.995	GSE98224
chr10	2931961	2932386	425	*	0.00739758134015327	0.0295903253606131	21272	72370	373400	301031	7	0.0341424389806241	0.976	0.128640695035832	0.998	GSE98224
chr2	42067938	42068648	710	*	-0.00737182921626057	0.0589746337300846	108666	67970	368608	300639	8	0.0342695432098304	0.976	0.0599782427466476	0.99	GSE98224
chr7	96626399	96627050	651	*	0.0100332142976672	0.0300996428930017	181967	30686	177655	146970	7	0.0355592773003062	0.961	0.125922907546627	0.997	GSE98224
chr11	78387190	78387503	313	*	0.00932312484119087	0.0559387490471452	39325	33979	236882	202904	7	0.0369611621812581	0.965	0.0640642698796622	0.991	GSE98224
chr6	30181713	30181771	58	*	-0.0116360895266161	0.0232721790532321	165876	180776	190559	9784	54	0.0386695925561782	0.932	0.170723409982168	0.999	GSE98224
chr11	105481509	105481509	0	*	-0.0136581373365616	0.0136581373365616	40364	296334	296334	1	8	0.0391854861923685	0.94	0.346841272986239	1	GSE98224
chr4	165304842	165305050	208	*	-0.0102211767772219	0.0306635303316658	150641	51941	168841	116901	7	0.0394770782476065	0.965	0.122827545729485	0.997	GSE98224
chr5	142784721	142785172	451	*	-0.0112626360236907	0.0225252720473814	159623	327737	358600	30864	9	0.0397948388206223	0.942	0.178570226955816	0.999	GSE98224
chr2	134326366	134326366	0	*	0.0136087540872427	0.0136087540872427	114401	265820	265820	1	7	0.0398509142158604	0.94	0.34862447055481	1	GSE98224
chr1	236686598	236687575	977	*	-0.00839269188646467	0.0671415350917174	19936	31352	282932	251581	14	0.0398733443739556	0.975	0.0497164454180795	0.985	GSE98224
chr6	32116905	32116994	89	*	-0.0111731715687502	0.0223463431375004	166548	50762	78896	28135	26	0.0417686927330026	0.943	0.180596417903752	0.999	GSE98224
chr6	33868187	33868466	279	*	0.00848363026857388	0.0254508908057216	167104	102738	325736	222999	7	0.0434995532660179	0.976	0.15293629461265	0.999	GSE98224
chr6	32116653	32116963	310	*	-0.0108216885552123	0.043286754220849	166548	190045	231713	41669	26	0.0436902096098274	0.958	0.0837729021260051	0.995	GSE98224
chr6	28411030	28411378	348	*	-0.0082196741664951	0.0493180449989706	165390	129742	367958	238217	9	0.0438771275939543	0.979	0.0738886791253734	0.994	GSE98224
chr7	99516845	99517279	434	*	-0.010004453609333	0.0400178144373321	182298	248494	350572	102079	14	0.0449948971390333	0.97	0.090700082617749	0.995	GSE98224
chr6	31543540	31543686	146	*	-0.00790600555499698	0.0474360333299819	166240	75625	321726	246102	11	0.0450210656568111	0.98	0.0768045996777534	0.995	GSE98224
chr6	30181645	30181936	291	*	-0.0113014247114914	0.0339042741344741	165876	290028	297046	7019	54	0.0459593939371283	0.947	0.108846080516791	0.996	GSE98224
chr10	8094534	8094534	0	*	0.0131781749793489	0.0131781749793489	21847	358837	358837	1	57	0.0466023918025249	0.95	0.358931128199569	1	GSE98224
chr17	48172203	48172203	0	*	-0.0130847253657825	0.0130847253657825	88259	307515	307515	1	7	0.0483220372564926	0.95	0.359704968653854	1	GSE98224
chr6	30181942	30181942	0	*	-0.013068214367178	0.013068214367178	165876	403400	403400	1	54	0.048602414232683	0.951	0.359876933199251	1	GSE98224
chr6	32027623	32027666	43	*	0.0108057821000944	0.0216115642001889	166474	202173	227985	25813	7	0.0490697091930003	0.96	0.188671274818035	0.999	GSE98224
chr5	67584194	67584380	186	*	0.00705480322416328	0.0352740161208164	155412	119984	374755	254772	8	0.049136999667286	0.987	0.103971259490761	0.995	GSE98224
chr10	86001154	86001560	406	*	0.00853497409668032	0.0597448186767623	26204	113954	291203	177250	7	0.0497837358923651	0.977	0.0589576705533146	0.99	GSE98224
